Sample	shoot30	root	dry	shoot15	Bsurv	Esurv	EndoIC	RhizoIC	Bbulk	Ebulk	Brhizo	Erizo	Bendo	Eendo	EndoP	RhizoP
RCS11	34.33	27.33	0.161	35.33			31.19	36.49							-3.46	-1.29
RCS12	32.25	25.50	0.245	35.25			25.09	34.05							-3.46	-1.29
RCS13	43.38	27.63	0.257	37.25			23.13	30.49							-3.46	-1.29
RBS11	67.33	28.00	0.303	37.00	89.03		50.48	18.17	5.75		2.44		0.00		-2.75	-0.85
RBS12	45.13	27.75	0.344	34.63	76.10		47.29	35.02			1.58		0.00		-2.75	-0.85
RBS13	51.75	25.13	0.381	34.13	58.84		46.77	16.08	1.63		1.48		0.01		-2.75	-0.85
RES11	51.17	26.00	0.499	31.67		41.32	45.44	51.87		0.30		0.10		62.19	-3.46	-2.37
RES12	64.38	22.63	0.402	30.13		41.92	42.46	40.54				0.18		68.22	-3.46	-2.37
RES13	53.13	19.75	0.372	25.75		49.39	33.42	33.17		0.27		0.18		99.00	-3.46	-2.37
RMS11	47.33	26.50	0.421	36.83	64.85	49.13	40.42	28.46	2.69	0.98	0.22	0.03	0.09	99.00	-3.46	2.7
RMS12	63.25	27.13	0.312	35.25	59.47	56.55	27.86	40.60	7.44	1.02	0.06	0.02		64.06	-3.46	2.7
