TaxaID	Phyla	Class	Order	Family	Genera	Freq1	Freq3	Freq6	TotalFreq
15	Acidobacteria	Solibacteres	Solibacterales	[Bryobacteraceae]		0	24.07719755	0	24.07719755
16	Acidobacteria	[Chloracidobacteria]	PK29			5.923419141	0	0	5.923419141
58	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura	105.5421795	14.70505537	0	120.2472349
97	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae		44.56362314	14.18281108	37.21052632	95.95696054
142	Cyanobacteria	4C0d-2	YS2			4.691339748	10.41570348	0	15.10704323
155	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Phormidiaceae	Phormidium	146.1758512	0	23.41549685	169.5913481
200	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		2.219861329	0	11.66044687	13.8803082
202	Firmicutes	Clostridia	Clostridiales	Peptococcaceae		10.87944531	9.238833868	0	20.11827918
211	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	9.08248728	8.176797149	0	17.25928443
255	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	25.66825283	0	0	25.66825283
359	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azoarcus	18.00621447	1.468893078	0	19.47510755
361	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea	8.290897263	0	0	8.290897263
394	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	7	5.154901112	4.645655877	16.80055699
6	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae		4.043927649	63.8409023	0	67.88482995
28	Actinobacteria	Actinobacteria	Actinomycetales	Frankiaceae		2.439722657	3.831065063	14.01227095	20.28305867
31	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Other	10.40706945	0	0	10.40706945
56	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Streptosporangium	79.86777297	0	0	79.86777297
61	Actinobacteria	Thermoleophilia	Gaiellales			16.72569571	0	0	16.72569571
66	Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae		23.16105435	0	0	23.16105435
69	Armatimonadetes	Armatimonadia	Armatimonadales	Armatimonadaceae		0	3.38442561	23.72193651	27.10636212
71	Armatimonadetes	Chthonomonadetes	SJA-22			30.85088921	0	0	30.85088921
95	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Sporocytophaga	13.14548702	0	0	13.14548702
160	Elusimicrobia	Elusimicrobia	FAC88			20.85474122	0	0	20.85474122
179	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	16.30661527	0	0	16.30661527
191	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		14.34035755	0	0	14.34035755
220	Firmicutes	Clostridia	Halanaerobiales			60.45879612	79.42374204	0	139.8825382
