OTU	Phyla	Class	Order	Family	Genera
60	Actinobacteria	OPB41			
68	Armatimonadetes	0319-6E2			
75	BRC1	PRR-11			
76	Bacteroidetes	At12OctB3			
115	Chlamydiae	Chlamydiia			
120	Chlorobi				
123	Chlorobi	OPB56			
124	Chlorobi	SJA-28			
131	Chloroflexi	C0119			
134	Chloroflexi	Ellin6529			
136	Chloroflexi	TK10			
150	Cyanobacteria	ML635J-21			
161	FBP				
222	Gemmatimonadetes	Gemm-1			
223	Gemmatimonadetes	Gemm-3			
224	Gemmatimonadetes	Gemmatimonadetes			
230	NKB19				
233	OD1	SM2F11			
250	Proteobacteria	Alphaproteobacteria			
331	Proteobacteria	Betaproteobacteria			
363	Proteobacteria	Deltaproteobacteria			
387	Proteobacteria	Gammaproteobacteria			
420	TM7	TM7-1			
443	WPS-2				
444	WS4				
435	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	
436	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	
437	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	Candidatus Xiphinematobacter
438	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	Chthoniobacter
439	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	DA101
440	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	Ellin506
441	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	OR-59
442	Verrucomicrobia	[Spartobacteria]	[Chthoniobacterales]	[Chthoniobacteraceae]	heteroC45_4W
74	Armatimonadetes	[Fimbriimonadia]	[Fimbriimonadales]	[Fimbriimonadaceae]	Fimbriimonas
429	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]		
430	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]		
431	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	Ellin515	
432	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	Ellin517	
433	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	[Pedosphaeraceae]	Pedosphaera
434	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	auto67_4W	
133	Chloroflexi	Chloroflexi	[Roseiflexales]	[Kouleothrixaceae]	
108	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	
109	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Chitinophaga
110	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Flavihumibacter
111	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Flavisolibacter
112	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Sediminibacterium
113	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Segetibacter
114	Bacteroidetes	[Saprospirae]	[Saprospirales]	Saprospiraceae	
59	Actinobacteria	MB-A2-108	0319-7L14		
162	Fibrobacteres	Fibrobacteria	258ds10		
332	Proteobacteria	Betaproteobacteria	A21b	EB1003	
20	Actinobacteria	Acidimicrobiia	Acidimicrobiales		
21	Actinobacteria	Acidimicrobiia	Acidimicrobiales	C111	
22	Actinobacteria	Acidimicrobiia	Acidimicrobiales	EB1017	
23	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Microthrixaceae	
6	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	
7	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter
8	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus
9	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	
10	Acidobacteria	Acidobacteriia	Acidobacteriales	Koribacteraceae	Candidatus Koribacter
24	Actinobacteria	Actinobacteria	Actinomycetales		
25	Actinobacteria	Actinobacteria	Actinomycetales		
26	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas
27	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
28	Actinobacteria	Actinobacteria	Actinomycetales	Frankiaceae	
29	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	
30	Actinobacteria	Actinobacteria	Actinomycetales	Geodermatophilaceae	Geodermatophilus
31	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	
32	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	
33	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Phycicoccus
34	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	
35	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces
36	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium
37	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Leucobacter
38	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Salinibacterium
39	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	
40	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	
41	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
42	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	
43	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Dactylosporangium
44	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Pilimelia
45	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Verrucosispora
46	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium
47	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	
48	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus
49	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	
50	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Kribbella
51	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides
52	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae	
53	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	
54	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Pseudonocardia
55	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces
56	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Streptosporangium
57	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	
58	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Actinomadura
132	Chloroflexi	Chloroflexi	AKIW781		
138	Chloroflexi	Thermomicrobia	AKYG1722		
137	Chloroflexi	TK10	AKYG885	Dolo_23	
388	Proteobacteria	Gammaproteobacteria	Alteromonadales	211ds20	
389	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Cellvibrio
390	Proteobacteria	Gammaproteobacteria	Alteromonadales	HTCC2188	HTCC
391	Proteobacteria	Gammaproteobacteria	Alteromonadales	[Chromatiaceae]	
125	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolinaceae	Anaerolinea
69	Armatimonadetes	Armatimonadia	Armatimonadales	Armatimonadaceae	
135	Chloroflexi	Ktedonobacteria	B12-WMSP1		
238	Planctomycetes	Planctomycetia	B97		
164	Firmicutes	Bacilli	Bacillales		
165	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	
166	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	
167	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
168	Firmicutes	Bacilli	Bacillales	Bacillaceae	
169	Firmicutes	Bacilli	Bacillales	Bacillaceae	
170	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
171	Firmicutes	Bacilli	Bacillales	Bacillaceae	Marinibacillus
172	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	
173	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	
174	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Ammoniphilus
175	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus
176	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus
177	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella
178	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
179	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina
180	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	
181	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
182	Firmicutes	Bacilli	Bacillales	[Exiguobacteraceae]	Exiguobacterium
77	Bacteroidetes	Bacteroidia	Bacteroidales		
78	Bacteroidetes	Bacteroidia	Bacteroidales	BA008	
79	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	
80	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Dysgonomonas
81	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter
251	Proteobacteria	Alphaproteobacteria	BD7-3		
364	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	
365	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
333	Proteobacteria	Betaproteobacteria	Burkholderiales		
334	Proteobacteria	Betaproteobacteria	Burkholderiales		
335	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	
336	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter
337	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Denitrobacter
338	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	
339	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
340	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Salinispora
341	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	
342	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	
343	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
