TaxaID	RCS11	RCS12	RCS13	RBS11	RBS12	RBS13	RES11	RES12	RES13	RMS11	RMS12
23	4.824988621	3.062548151	8.709842127				2.647808168		4.817314247		1
138	1.206247155		2.488526322		3.325647059	2.932365145		3.825514255		2.409752216	
363	9.649977242	4.083397535		8.102809096			2.647808168	3.825514255			7
136	2.41249431		2.488526322				13.23904084	3.825514255		2.409752216	1
173	2.41249431	17.35443952	4.977052644			8.797095436			2.408657123		7
92	2.41249431	9.187644453	1.244263161			73.30912863	18.53465717	7.65102851			
122	4.824988621	3.062548151	4.977052644				2.647808168			33.73653103	32
376	8.443730086		1.244263161			20.52655602	323.0325965		12.04328562		3
270	9.649977242	7.145945686	32.35084219						7.22597137	3.614628325	30
326	2.41249431	3.062548151	2.488526322	4.051404548					4.817314247		3
82			2.488526322		6.651294118	11.72946058	5.295616336			4.819504433	2
196	1.206247155	4.083397535	2.488526322				2.647808168			7.229256649	45
157		3.062548151		8.102809096	33.25647059	8.797095436		3.825514255			26
303	1.206247155	3.062548151					2.647808168		2.408657123	3.614628325	9
149		1.020849384	36.08363167	56.71966367		2.932365145	182.6987636		1163.381391		
182			8.797095436		2.409752216	15	2.647808168			3.062548151	1.244263161
131	4.051404548			4.817314247	9.639008866	3	2.647808168	26.77859978			
414				4.817314247	34.94140714	37		15.30205702	1.206247155		1.244263161
35	4.051404548		2.932365145	2.408657123	2.409752216				3.618741466	1.020849384	6.221315805
127			5.86473029	2.408657123	4.819504433		2.647808168	7.65102851	4.824988621		2.488526322
110	20.25702274			2.408657123	3.614628325	3			194.205792	47.97992103	302.3559481
312	36.46264093			7.22597137	3.614628325	3	26.47808168	19.12757127	3.618741466		
210				2.408657123	9.639008866	1	2.647808168		2.41249431	3.062548151	1.244263161
246	8.102809096		2.932365145	2.408657123	6.024380541	2	15.88684901	7.65102851			
269	4.051404548		5.86473029	2.408657123	4.819504433	2	5.295616336		1.206247155		
271	4.051404548	3.325647059				2	2.647808168	3.825514255		7.145945686	4.977052644
348		3.325647059		2.408657123	7.229256649	7		3.825514255		1.020849384	2.488526322
79	4.051404548	9.976941176			10.84388497	112			4.824988621	18.37528891	6.221315805
13	16.20561819	36.58211765	32.2560166	28.90388548			5.295616336	38.25514255		4.083397535	
265		6.651294118	2.932365145		1.204876108	8	5.295616336		1.206247155		1.244263161
96	8.102809096		5.86473029			20	5.295616336		9.649977242	19.39613829	14.93115793
284		3.325647059		2.408657123	14.4585133	10	5.295616336			2.041698767	3.732789483
282			2.932365145		2.409752216	2		3.825514255	1.206247155	7.145945686	3.732789483
345	8.102809096		287.3717842		112.0534781	1	7.943424504	3.825514255		2.041698767	
199	20.25702274		2.932365145	2.408657123	3.614628325	5		15.30205702		2.041698767	
190	8.102809096		5.86473029	4.817314247	18.07314162	41	5.295616336	3.825514255			
268	4.051404548		2.932365145	2.408657123	2.409752216	11	10.59123267			1.020849384	
98	60.77106822	13.30258824	2.932365145		1.204876108		2.647808168	15.30205702			3.732789483
213	8.102809096		5.86473029		10.84388497	26	10.59123267		1.206247155		1.244263161
228		6.651294118			107.2339736	10	5.295616336	11.47654276	1.206247155	3.062548151	
352		6.651294118			13.25363719	39		3.825514255	1.206247155	1.020849384	1.244263161
381	12.15421364	3.325647059	2.932365145		8.434132757			7.65102851	3.618741466	5.104246918	1.244263161
22	12.15421364			2.408657123	4.819504433	2	7.943424504	7.65102851		4.083397535	4.977052644
152		9.976941176	8.797095436		31.32677881		2.647808168	7.65102851	6.031235776	2.041698767	3.732789483
385	12.15421364		2.932365145		3.614628325	4		7.65102851	6.031235776	2.041698767	1.244263161
153	68.87387732	13.30258824	5.86473029		27.71215049	3	10.59123267			210.294973	4.977052644
249		6.651294118			3.614628325	7	10.59123267	15.30205702	12.06247155	21.43783706	13.68689477
205			2.932365145	4.817314247	1.204876108	2	2.647808168		9.649977242	7.145945686	1.244263161
245		3.325647059	2.932365145	4.817314247	4.819504433		18.53465717	11.47654276	2.41249431	3.062548151	
433	8.102809096	3.325647059			3.614628325	1	7.943424504	7.65102851	3.618741466		1.244263161
121		3.325647059			362.6677086	475	10.59123267	3.825514255	3.618741466	1.020849384	2.488526322
60	8.102809096		2.932365145	2.408657123	21.68776995	6	7.943424504			2.041698767	1.244263161
382		23.27952941	14.66182573		2.409752216	14	66.1952042	3.825514255	6.031235776	14.29189137	
78	8.102809096		11.72946058	2.408657123	40.96578768	229	15.88684901	15.30205702	3.618741466		
63	4.051404548	13.30258824	5.86473029	26.49522836		16			67.54984069	22.45868644	36.08363167
187	8.102809096		2.932365145		19.27801773	36	7.943424504		2.41249431	2.041698767	2.488526322
99	4.051404548	43.23341176		2.408657123	1.204876108		13.23904084	3.825514255	4.824988621	1.020849384	
24	20.25702274	3.325647059	8.797095436		19.27801773	20	5.295616336		19.29995448	3.062548151	
320		3.325647059	5.86473029		1.204876108	5	10.59123267		25.33119026	207.2324249	4.977052644
291				14.45194274	16.86826551	8	5.295616336	7.65102851	6.031235776	3.062548151	3.732789483
260				7.22597137	30.12190271	11	5.295616336	7.65102851	12.06247155	26.54208398	6.221315805
339				26.49522836	24.09752216	11	15.88684901	72.68477084	2.41249431	1.020849384	1.244263161
1	8.102809096		14.66182573		13.25363719	1	5.295616336	11.47654276	3.618741466	1.020849384	4.977052644
50	4.051404548	9.976941176		2.408657123	8.434132757		5.295616336	19.12757127	1.206247155	1.020849384	6.221315805
