TaxaID	RCS31	RCS32	RCS33	RBS31	RBS32	RBS33	RES31	RES32	RES33	RMS31	RMS32	RMS33
396			16.20528828		6.406358885			15.95682361		358.5818765	4	
303	12.38548333	15.43846759	5.401762762		6.406358885							1.935394737
80		3.859616898	1.35044069	8.624450308		2.084018135			11.01797753	1.428613054		
409			36.46189864	4.312225154		97.94885237				12.85751748	20	13.54776316
106	7.431289997	3.859616898			6.406358885					2.857226107	5	3.870789474
122	29.72515999	11.5788507			14.94817073				3.672659176		2	1.935394737
215	2.477096666				4.270905923	2.084018135		3.191364721		1.428613054	2	
13					8.541811847	2.084018135		6.382729442		1.428613054	2	1.935394737
346	2.477096666			30.18557608		8.336072542				1.428613054	4	13.54776316
235	39.63354665	27.01731829			10.67726481		2.375484496	3.191364721		4.285839161		
433		3.859616898	1.35044069		2.135452962			6.382729442		5.714452214	3	
76	2.477096666			4.312225154		8.336072542		6.382729442	11.01797753			5.806184211
121	636.613843	247.0154815			899.0256969	2.084018135					145	56.12644737
282		7.719233797	14.85484759			2.084018135	2.375484496	3.191364721				1.935394737
417				30.18557608		2.084018135	52.26065891	19.14818833	14.6906367			3.870789474
382				4.312225154	4.270905923	4.168036271	2.375484496	3.191364721				1.935394737
101					4.270905923		2.375484496	19.14818833	3.672659176	118.5748834	4	
107	2.477096666			12.93667546		181.3095778	33.25678295	15.95682361		1.428613054		
309	2.477096666		1.35044069			4.168036271				1.428613054	2	1.935394737
157	9.908386662	11.5788507		4.312225154	6.406358885			44.6791061	7.345318352			
335	2.477096666	3.859616898			2.135452962			15.95682361	3.672659176	15.71474359		
437				4.312225154	10.67726481	2.084018135		9.574094164		10.00029138	1	
90			18.90616967	56.058927		29.1762539				51.43006993	31	7.741578947
426	4.954193331	3.859616898						6.382729442		8.571678322	7	3.870789474
245		3.859616898			2.135452962	2.084018135	7.126453488	3.191364721	7.345318352			3.870789474
103				4.312225154		12.50410881		3.191364721	18.36329588	1.428613054	3	1.935394737
30		7.719233797		12.93667546	4.270905923	4.168036271		3.191364721			7	1.935394737
60	2.477096666	3.859616898	8.102644142	8.624450308	8.541811847						6	3.870789474
334	2.477096666	3.859616898	2.700881381		6.406358885		7.126453488	3.191364721		2.857226107		
214	17.33967666	3.859616898		4.312225154	12.81271777	8.336072542				7.143065268		1.935394737
372	4.954193331	3.859616898	1.35044069		25.62543554	2.084018135					1	3.870789474
10	44.58773998	19.29808449	6.752203452		12.81271777				3.672659176		4	1.935394737
17	54.49612664	19.29808449			40.57360627	4.168036271		3.191364721	33.05393258		1	
